symbol,preferred_name,alternate_name,first_use,first_kanji,status,notes
臤,臤_family,臤_family,lesson_46,賢,family_anchor,"pass6a harvest; phon_parents=3; right_parents=0; v4_token_parents=0; sample=堅,緊,賢; sources=kanjivg,v4"
至,climax,climax_family,lesson_41,室,family_anchor,"pass6a harvest; phon_parents=3; right_parents=4; v4_token_parents=0; sample=姪,室,窒,致,蛭; sources=kanjivg,v4"
蒦,蒦_family,蒦_family,lesson_38,護,family_anchor,"pass6a harvest; phon_parents=3; right_parents=3; v4_token_parents=0; sample=獲,穫,護; sources=kanjivg,v4"
豆,beans,beans_family,lesson_78,頭,family_anchor,"pass6a harvest; phon_parents=3; right_parents=8; v4_token_parents=0; sample=凱,澄,燈,痘,登,短,艶,豊; sources=kanjivg,v4"
賁,賁_family,賁_family,lesson_65,噴,family_anchor,"pass6a harvest; phon_parents=3; right_parents=3; v4_token_parents=0; sample=噴,墳,憤; sources=kanjivg,v4"
辟,辟_family,辟_family,lesson_81,壁,family_anchor,"pass6a harvest; phon_parents=3; right_parents=1; v4_token_parents=0; sample=僻,壁,癖,避; sources=kanjivg,v4"
采,grab,grab_family,lesson_40,採,family_anchor,"pass6a harvest; phon_parents=3; right_parents=2; v4_token_parents=0; sample=彩,採,菜; sources=kanjivg,v4"
長,long,long_family,lesson_104,張,family_anchor,"pass6a harvest; phon_parents=3; right_parents=4; v4_token_parents=0; sample=套,帳,張,脹; sources=kanjivg,v4"
麻,hemp,hemp_family,lesson_32,磨,family_anchor,"pass6a harvest; phon_parents=3; right_parents=0; v4_token_parents=0; sample=摩,磨,魔; sources=kanjivg,v4"
竟,compete,compete_family,lesson_27,鏡,family_anchor,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; curated_hub; sample=境,鏡; sources=kanjivg,v4"
商,deal,deal_family,lesson_24,商,family_anchor,"pass6a harvest; phon_parents=0; right_parents=0; v4_token_parents=0; curated_hub; sources=kanjivg,v4"
喿,noisy,noisy_family,lesson_12,燥,family_anchor,"pass6a harvest; phon_parents=0; right_parents=4; v4_token_parents=0; curated_hub; sample=操,燥,繰,藻; sources=kanjivg,v4"
鬼,ghost,ghost_family,lesson_109,醜,probable_family,"pass6a harvest; phon_parents=1; right_parents=6; v4_token_parents=0; sample=塊,蒐,醜,魁,魂,魅; sources=kanjivg,v4"
不,not,not_family,lesson_66,否,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=1; v4_token_parents=0; sample=否,杯; sources=kanjivg,v4; review=human"
丙,third_class,third_class_family,lesson_55,柄,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=1; v4_token_parents=0; sample=柄,病; sources=kanjivg,v4; review=human"
丩,丩_family,丩_family,lesson_82,叫,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=叫,糾; sources=kanjivg,v4; review=human"
乇,乇_family,乇_family,lesson_104,宅,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=3; v4_token_parents=0; sample=宅,託,詫; sources=kanjivg,v4; review=human"
于,于_family,于_family,lesson_90,芋,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=宇,芋; sources=kanjivg,v4; review=human"
井,well,well_family,lesson_37,刑,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=1; v4_token_parents=0; sample=刑,耕; sources=kanjivg,v4; review=human"
代,substitute,substitute_family,lesson_55,袋,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=0; v4_token_parents=0; sample=袋,貸; sources=kanjivg,v4; review=human"
充,allot,allot_family,lesson_42,銃,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=統,銃; sources=kanjivg,v4; review=human"
免,excuse,excuse_family,lesson_107,晩,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=3; v4_token_parents=0; sample=勉,挽,晩; sources=kanjivg,v4; review=human"
关,关_family,关_family,lesson_109,関,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=咲,朕,関; sources=kanjivg,v4; review=human"
凶,villain,villain_family,lesson_105,脳,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=悩,脳; sources=kanjivg,v4; review=human"
劦,劦_family,劦_family,lesson_47,脇,uncertain_candidate,"pass6a harvest; phon_parents=2; right_parents=2; v4_token_parents=0; sample=協,脅,脇; sources=kanjivg,v4; review=human"
