kanji,keyword,lesson_number,kml_primitives,cluster_components,collapse_to,layout_type,first_use,notes
苗,seedling,13,艹|田,艹|田,,v,,pass4: harvested L13 HTML (艹|田)
兆,portent,13,兆,兆,,a,,pass2a: — -> a; pass4: harvested L13 HTML (兆)
桃,peach_tree,13,木|兆,木|兆,,h,,pass4: harvested L13 HTML (木|兆)
眺,stare,13,目|兆,目|兆,,h,,pass4: harvested L13 HTML (目|兆)
犬,dog,13,大|丶,大|丶,,h,,pass2a: — -> h; pass4: harvested L13 HTML (大|丶)
状,status_quo,13,丬|犬,丬|犬,,h,,pass4: harvested L13 HTML (丬|犬)
黙,silence,13,里|犬|灬,里|犬|灬,,2t,,pass2a: v -> 2t; pass4: harvested L13 HTML (里|犬|灬)
然,sort_of_thing,13,夕|犬|灬,夕|犬|灬,,2t,,pass2a: v -> 2t; pass4: harvested L13 HTML (夕|犬|灬)
荻,reed,13,艹|犭|火,艹|犭|火,,2t,,pass2a: v -> 2t; pass4: harvested L13 HTML (艹|犭|火)
狩,hunt,13,犭|守,犭|守,,h,,pass4: harvested L13 HTML (犭|守)
猫,cat,13,犭|苗,犭|苗,,h,,pass4: harvested L13 HTML (犭|苗)
牛,cow,14,牛,牛,,a,,pass2a: — -> a; pass4: harvested L14 HTML (牛)
特,special,14,牛|寺,牛|寺,,h,,pass4: harvested L14 HTML (牛|寺)
告,revelation,14,牛|口,牛|口,,v,,pass4: harvested L14 HTML (牛|口)
先,previous,14,牛|儿,牛|儿,,v,,pass4: harvested L14 HTML (牛|儿)
洗,wash,14,氵|先,氵|先,,h,,pass4: harvested L14 HTML (氵|先)
介,jammed_in,14,介,介,,a,,pass2a: v -> a; pass4: harvested L14 HTML (介)
界,world,14,田|介,田|介,,v,,pass4: harvested L14 HTML (田|介)
茶,tea,14,艹|人|木,艹|人|木,,v,,pass4: harvested L14 HTML (艹|人|木)
脊,stature,14,ニ|人|月,ニ|人|月,,v,,pass4: harvested L14 HTML (ニ|人|月)
合,fit,14,人|一|口,人|一|口,,v,,pass4: harvested L14 HTML (人|一|口)
塔,pagoda,14,土|艹|合,土|艹|合,,2r,,pass2a: h -> 2r; pass4: harvested L14 HTML (土|艹|合)
王,king,14,王,王,,a,,pass2a: v -> a; pass4: harvested L14 HTML (王)
玉,ball,14,王|丶,王|丶,,v,,pass2a: e -> v; pass4: harvested L14 HTML (王|丶)
宝,treasure,14,宀|玉,宀|玉,,v,,pass4: harvested L14 HTML (宀|玉)
珠,pearl,14,王|朱,王|朱,,h,,pass4: harvested L14 HTML (王|朱)
現,present,14,王|見,王|見,,h,,pass4: harvested L14 HTML (王|見)
玩,toy_with,14,王|元,王|元,,h,,pass4: harvested L14 HTML (王|元)
狂,lunatic,14,犭|王,犭|王,,h,,pass4: harvested L14 HTML (犭|王)
旺,flourishing,14,日|王,日|王,,h,,pass4: harvested L14 HTML (日|王)
皇,emperor,14,白|王,白|王,,v,,pass4: harvested L14 HTML (白|王)
呈,display,15,口|王,口|王,,v,,pass4: harvested L15 HTML (口|王)
全,whole,15,人|王,人|王,,v,,pass4: harvested L15 HTML (人|王)
栓,plug,15,木|全,木|全,,h,,pass4: harvested L15 HTML (木|全)
理,logic,15,王|里,王|里,,h,,pass4: harvested L15 HTML (王|里)
主,master,15,丶|王,丶|王,,v,,pass4: harvested L15 HTML (丶|王)
注,pour,15,氵|主,氵|主,,h,,pass4: harvested L15 HTML (氵|主)
柱,pillar,15,木|主,木|主,,h,,pass4: harvested L15 HTML (木|主)
金,gold,15,金,金,,a,,pass2a: v -> a; pass4: harvested L15 HTML (金)
銑,pig_iron,15,金|先,金|先,,h,,pass4: harvested L15 HTML (金|先)
鉢,bowl,15,金|本,金|本,,h,,pass4: harvested L15 HTML (金|本)
銅,copper,15,金|同,金|同,,h,,pass4: harvested L15 HTML (金|同)
釣,angling,15,金|勺,金|勺,,h,,pass4: harvested L15 HTML (金|勺)
針,needle,15,金|十,金|十,,h,,pass4: harvested L15 HTML (金|十)
銘,inscription,15,金|名,金|名,,h,,pass4: harvested L15 HTML (金|名)
鎮,tranquilize,15,金|真,金|真,,h,,pass4: harvested L15 HTML (金|真)
道,road,15,辶|首,辶|首,,ei,,pass2a: e -> ei; pass4: harvested L15 HTML (辶|首)
導,guidance,15,道|寸,道|寸,,v,,pass4: harvested L15 HTML (道|寸)
辻,crossing,15,辶|十,辶|十,,ei,,pass2a: e -> ei; pass4: harvested L15 HTML (辶|十)
迅,swift,15,辶|卂,辶|卂,,ei,,pass2a: e -> ei; pass4: harvested L15 HTML (辶|卂)
造,create,15,辶|告,辶|告,,ei,,pass2a: e -> ei; pass4: harvested L15 HTML (辶|告)
迫,urge,16,辶|白,辶|白,,ei,,pass2a: e -> ei; pass4: harvested L16 HTML (辶|白)
逃,escape,16,辶|兆,辶|兆,,ei,,pass2a: e -> ei; pass4: harvested L16 HTML (辶|兆)
辺,environs,16,辶|刀,辶|刀,,ei,,pass2a: e -> ei; pass4: harvested L16 HTML (辶|刀)
巡,patrol,16,辶|巛,辶|巛,,ei,,pass2a: e -> ei; pass4: harvested L16 HTML (辶|巛)
