kanji,joyo_index,radical,strokes,grade,year_added,english_meaning,on_kana,on_romaji,kun_kana,kun_romaji,unicode,svg_file,heisig_number,heisig_keyword
綻,1344,糸,14,S,2010,rip,タン,tan,ほころ-びる,hokoro-biru,u7dbb,u7dbb.svg,,
誕,1345,言,15,6,,nativity,タン,tan,,,u8a95,u8a95.svg,,
鍛,1346,金,17,S,,forge,タン,tan,きた-える,kita-eru,u935b,u935b.svg,,
団,1347,囗,6,5,,group,ダン、（トン）,"dan, (ton)",,,u56e3,u56e3.svg,,
男,1348,田,7,1,,male,ダン、ナン,"dan, nan",おとこ,otoko,u7537,u7537.svg,,
段,1349,殳,9,6,,steps,ダン,dan,,,u6bb5,u6bb5.svg,,
断,1350,斤,11,5,,cut off,ダン,dan,た-つ、ことわ-る,"ta-tsu, kotowa-ru",u65ad,u65ad.svg,,
弾,1351,弓,12,S,,bullet,ダン,dan,ひ-く、はず-む、たま,"hi-ku, hazu-mu, tama",u5f3e,u5f3e.svg,,
暖,1352,日,13,6,,warmth,ダン,dan,あたた-か、あたた-かい、あたた-まる、あたた-める,"atata-ka, atata-kai, atata-maru, atata-meru",u6696,u6696.svg,,
談,1353,言,15,3,,discuss,ダン,dan,,,u8ac7,u8ac7.svg,,
壇,1354,土,16,S,,podium,ダン、（タン）,"dan, (tan)",,,u58c7,u58c7.svg,,
地,1355,土,6,2,,ground,チ、ジ,"chi, ji",,,u5730,u5730.svg,,
池,1356,水,6,2,,pond,チ,chi,いけ,ike,u6c60,u6c60.svg,,
知,1357,矢,8,2,,know,チ,chi,し-る,shi-ru,u77e5,u77e5.svg,,
値,1358,人,10,6,,value,チ,chi,ね、あたい,"ne, atai",u5024,u5024.svg,,
恥,1359,心,10,S,,shame,チ,chi,は-じる、はじ、は-じらう、は-ずかしい,"ha-jiru, haji, ha-jirau, ha-zukashii",u6065,u6065.svg,,
致,1360,至,10,S,,(to) do,チ,chi,いた-す,ita-su,u81f4,u81f4.svg,,
遅,1361,辵,12,S,,slow,チ,chi,おく-れる、おく-らす、おそ-い,"oku-reru, oku-rasu, oso-i",u9045,u9045.svg,,
痴,1362,疒,13,S,,stupid,チ,chi,,,u75f4,u75f4.svg,,
稚,1363,禾,13,S,,immature,チ,chi,,,u7a1a,u7a1a.svg,,
置,1364,网,13,4,,put,チ,chi,お-く,o-ku,u7f6e,u7f6e.svg,,
緻,1365,糸,16,S,2010,fine (not coarse),チ,chi,,,u7dfb,u7dfb.svg,,
竹,1366,竹,6,1,,bamboo,チク,chiku,たけ,take,u7af9,u7af9.svg,,
畜,1367,田,10,S,,livestock,チク,chiku,,,u755c,u755c.svg,,
逐,1368,辵,10,S,,pursue,チク,chiku,,,u9010,u9010.svg,,
蓄,1369,艸,13,S,,amass,チク,chiku,たくわ-える,takuwa-eru,u84c4,u84c4.svg,,
