kanji,joyo_index,radical,strokes,grade,year_added,english_meaning,on_kana,on_romaji,kun_kana,kun_romaji,unicode,svg_file,heisig_number,heisig_keyword
絡,2025,糸,12,S,,entwine,ラク,raku,から-む、から-まる、から-める,"kara-mu, kara-maru, kara-meru",u7d61,u7d61.svg,,
落,2026,艸,12,3,,fall,ラク,raku,お-ちる、お-とす,"o-chiru, o-tosu",u843d,u843d.svg,,
酪,2027,酉,13,S,,dairy products,ラク,raku,,,u916a,u916a.svg,,
辣,2028,辛,14,S,2010,bitter,ラツ,ratsu,,,u8fa3,u8fa3.svg,,
乱,2029,乙,7,6,,riot,ラン,ran,みだ-れる、みだ-す,"mida-reru, mida-su",u4e71,u4e71.svg,,
卵,2030,卩,7,6,,egg,ラン,ran,たまご,tamago,u5375,u5375.svg,,
覧,2031,見,17,6,,perusal,ラン,ran,,,u89a7,u89a7.svg,,
濫,2032,水,18,S,,excessive,ラン,ran,,,u6feb,u6feb.svg,,
藍,2033,艸,18,S,2010,indigo,ラン,ran,あい,ai,u85cd,u85cd.svg,,
欄,2034,木,20,S,,column,ラン,ran,,,u6b04,u6b04.svg,,
吏,2035,口,6,S,,officer,リ,ri,,,u540f,u540f.svg,,
利,2036,刀,7,4,,profit,リ,ri,き-く,ki-ku,u5229,u5229.svg,,
里,2037,里,7,2,,village,リ,ri,さと,sato,u91cc,u91cc.svg,,
理,2038,玉,11,2,,reason,リ,ri,,,u7406,u7406.svg,,
痢,2039,疒,12,S,,diarrhea,リ,ri,,,u75e2,u75e2.svg,,
裏,2040,衣,13,6,,back,リ,ri,うら,ura,u88cf,u88cf.svg,,
履,2041,尸,15,S,,footgear,リ,ri,は-く,ha-ku,u5c65,u5c65.svg,,
璃,2042,玉,14,S,2010,glassy,リ,ri,,,u7483,u7483.svg,,
離,2043,隹,18,S,,detach,リ,ri,はな-れる、はな-す,"hana-reru, hana-su",u96e2,u96e2.svg,,
陸,2044,阜,11,4,,land,リク,riku,,,u9678,u9678.svg,,
立,2045,立,5,1,,stand up,リツ、（リュウ）,"ritsu, (ryū)",た-つ、た-てる,"ta-tsu, ta-teru",u7acb,u7acb.svg,,
律,2046,彳,9,6,,law,リツ、（リチ）,"ritsu, (richi)",,,u5f8b,u5f8b.svg,,
慄,2047,心,13,S,2010,fear,リツ,ritsu,,,u6144,u6144.svg,,
略,2048,田,11,5,,abbreviation,リャク,ryaku,,,u7565,u7565.svg,,
柳,2049,木,9,S,,willow,リュウ,ryū,やなぎ,yanagi,u67f3,u67f3.svg,,
流,2050,水,10,3,,stream,リュウ、（ル）,"ryū, (ru)",なが-れる、なが-す,"naga-reru, naga-su",u6d41,u6d41.svg,,
留,2051,田,10,5,,detain,リュウ、（ル）,"ryū, (ru)",と-める、と-まる,"to-meru, to-maru",u7559,u7559.svg,,
竜,2052,龍,10,S,1981,dragon,リュウ,ryū,たつ,tatsu,u7adc,u7adc.svg,,
粒,2053,米,11,S,,grains,リュウ,ryū,つぶ,tsubu,u7c92,u7c92.svg,,
隆,2054,阜,11,S,,hump,リュウ,ryū,,,u9686,u9686.svg,,
硫,2055,石,12,S,,sulphur,リュウ,ryū,,,u786b,u786b.svg,,
侶,2056,人,9,S,2010,companion,リョ,ryo,,,u4fb6,u4fb6.svg,,
旅,2057,方,10,3,,trip,リョ,ryo,たび,tabi,u65c5,u65c5.svg,,
虜,2058,虍,13,S,,captive,リョ,ryo,,,u865c,u865c.svg,,
慮,2059,心,15,S,,prudence,リョ,ryo,,,u616e,u616e.svg,,
了,2060,亅,2,S,,finish,リョウ,ryō,,,u4e86,u4e86.svg,,
両,2061,入,6,3,,both,リョウ,ryō,,,u4e21,u4e21.svg,,
良,2062,艮,7,4,,good,リョウ,ryō,よ-い,yo-i,u826f,u826f.svg,,
料,2063,斗,10,4,,fee,リョウ,ryō,,,u6599,u6599.svg,,
涼,2064,水,11,S,,refreshing,リョウ,ryō,すず-しい、すず-む,"suzu-shii, suzu-mu",u6dbc,u6dbc.svg,,
猟,2065,犬,11,S,,game-hunting,リョウ,ryō,,,u731f,u731f.svg,,
陵,2066,阜,11,S,,mausoleum,リョウ,ryō,みささぎ,misasagi,u9675,u9675.svg,,
量,2067,里,12,4,,quantity,リョウ,ryō,はか-る,haka-ru,u91cf,u91cf.svg,,
僚,2068,人,14,S,,colleague,リョウ,ryō,,,u50da,u50da.svg,,
領,2069,頁,14,5,,territory,リョウ,ryō,,,u9818,u9818.svg,,
寮,2070,宀,15,S,,dormitory,リョウ,ryō,,,u5bee,u5bee.svg,,
療,2071,疒,17,S,,heal,リョウ,ryō,,,u7642,u7642.svg,,
瞭,2072,目,17,S,2010,clear,リョウ,ryō,,,u77ad,u77ad.svg,,
糧,2073,米,18,S,,provisions,リョウ、（ロウ）,"ryō, (rō)",かて,kate,u7ce7,u7ce7.svg,,
力,2074,力,2,1,,power,リョク、リキ,"ryoku, riki",ちから,chikara,u529b,u529b.svg,,
緑,2075,糸,14,3,,green,リョク、（ロク）,"ryoku, (roku)",みどり,midori,u7dd1,u7dd1.svg,,
林,2076,木,8,1,,woods,リン,rin,はやし,hayashi,u6797,u6797.svg,,
厘,2077,厂,9,S,,thousandth,リン,rin,,,u5398,u5398.svg,,
倫,2078,人,10,S,,ethics,リン,rin,,,u502b,u502b.svg,,
輪,2079,車,15,4,,wheel,リン,rin,わ,wa,u8f2a,u8f2a.svg,,
隣,2080,阜,16,S,,neighboring,リン,rin,とな-る、となり,"tona-ru, tonari",u96a3,u96a3.svg,,
臨,2081,臣,18,6,,look to,リン,rin,のぞ-む,nozo-mu,u81e8,u81e8.svg,,
瑠,2082,玉,14,S,2010,lapis lazuli,ル,ru,,,u7460,u7460.svg,,
涙,2083,水,10,S,,tears,ルイ,rui,なみだ,namida,u6d99,u6d99.svg,,
累,2084,糸,11,S,,accumulate,ルイ,rui,,,u7d2f,u7d2f.svg,,
塁,2085,土,12,S,,bases,ルイ,rui,,,u5841,u5841.svg,,
類,2086,頁,18,4,,sort,ルイ,rui,たぐ-い,tagu-i,u985e,u985e.svg,,
令,2087,人,5,4,,orders,レイ,rei,,,u4ee4,u4ee4.svg,,
礼,2088,示,5,3,,thanks,レイ、ライ,"rei, rai",,,u793c,u793c.svg,,
冷,2089,冫,7,4,,cool,レイ,rei,つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます,"tsume-tai, hi-eru, hi-ya, hi-yasu, hi-yakasu, sa-meru, sa-masu",u51b7,u51b7.svg,,
励,2090,力,7,S,,encourage,レイ,rei,はげ-む、はげ-ます,"hage-mu, hage-masu",u52b1,u52b1.svg,,
戻,2091,戶,7,S,1981,re-,レイ,rei,もど-す、もど-る,"modo-su, modo-ru",u623b,u623b.svg,,
例,2092,人,8,4,,example,レイ,rei,たと-える,tato-eru,u4f8b,u4f8b.svg,,
鈴,2093,金,13,S,,small bell,レイ、リン,"rei, rin",すず,suzu,u9234,u9234.svg,,
零,2094,雨,13,S,,zero,レイ,rei,,,u96f6,u96f6.svg,,
霊,2095,雨,15,S,,spirits,レイ、リョウ,"rei, ryō",たま,tama,u970a,u970a.svg,,
隷,2096,隶,16,S,,slave,レイ,rei,,,u96b7,u96b7.svg,,
齢,2097,齒,17,S,,age,レイ,rei,,,u9f62,u9f62.svg,,
麗,2098,鹿,19,S,,lovely,レイ,rei,うるわ-しい,uruwa-shii,u9e97,u9e97.svg,,
暦,2099,日,14,S,,calendar,レキ,reki,こよみ,koyomi,u66a6,u66a6.svg,,
歴,2100,止,14,5,,curriculum,レキ,reki,,,u6b74,u6b74.svg,,
列,2101,刀,6,3,,row,レツ,retsu,,,u5217,u5217.svg,,
劣,2102,力,6,S,,inferiority,レツ,retsu,おと-る,oto-ru,u52a3,u52a3.svg,,
烈,2103,火,10,S,,ardent,レツ,retsu,,,u70c8,u70c8.svg,,
裂,2104,衣,12,S,,split,レツ,retsu,さ-く、さ-ける,"sa-ku, sa-keru",u88c2,u88c2.svg,,
恋,2105,心,10,S,,romance,レン,ren,こ-う、こい、こい-しい,"ko-u, koi, koi-shii",u604b,u604b.svg,,
連,2106,辵,10,4,,take along,レン,ren,つら-なる、つら-ねる、つ-れる,"tsura-naru, tsura-neru, tsu-reru",u9023,u9023.svg,,
廉,2107,广,13,S,,bargain,レン,ren,,,u5ec9,u5ec9.svg,,
練,2108,糸,14,3,,practice,レン,ren,ね-る,ne-ru,u7df4,u7df4.svg,,
錬,2109,金,16,S,,tempering,レン,ren,,,u932c,u932c.svg,,
呂,2110,口,7,S,2010,spine,ロ,ro,,,u5442,u5442.svg,,
炉,2111,火,8,S,,hearth,ロ,ro,,,u7089,u7089.svg,,
賂,2112,貝,13,S,2010,bribe,ロ,ro,,,u8cc2,u8cc2.svg,,
路,2113,足,13,3,,road,ロ,ro,じ,ji,u8def,u8def.svg,,
露,2114,雨,21,S,,dew,ロ、（ロウ）,"ro, (rō)",つゆ,tsuyu,u9732,u9732.svg,,
老,2115,老,6,4,,old man,ロウ,rō,お-いる、ふ-ける,"o-iru, fu-keru",u8001,u8001.svg,,
労,2116,力,7,4,,labour,ロウ,rō,,,u52b4,u52b4.svg,,
弄,2117,廾,7,S,2010,tamper with,ロウ,rō,もてあそ-ぶ,moteaso-bu,u5f04,u5f04.svg,,
郎,2118,邑,9,S,,son,ロウ,rō,,,u90ce,u90ce.svg,,
朗,2119,月,10,6,,melodious,ロウ,rō,ほが-らか,hoga-raka,u6717,u6717.svg,,
浪,2120,水,10,S,,wandering,ロウ,rō,,,u6d6a,u6d6a.svg,,
廊,2121,广,12,S,,corridor,ロウ,rō,,,u5eca,u5eca.svg,,
楼,2122,木,13,S,,watchtower,ロウ,rō,,,u697c,u697c.svg,,
漏,2123,水,14,S,,leak,ロウ,rō,も-る、も-れる、も-らす,"mo-ru, mo-reru, mo-rasu",u6f0f,u6f0f.svg,,
籠,2124,竹,22,S,2010,basket,ロウ,rō,かご、こ-もる,"kago, ko-moru",u7c60,u7c60.svg,,
六,2125,八,4,1,,six,ロク,roku,む、む-つ、むっ-つ、（むい）,"mu, mu-tsu, mu'-tsu, (mui)",u516d,u516d.svg,,
録,2126,金,16,4,,record,ロク,roku,,,u9332,u9332.svg,,
麓,2127,鹿,19,S,2010,foot of a mountain,ロク,roku,ふもと,fumoto,u9e93,u9e93.svg,,
論,2128,言,15,6,,theory,ロン,ron,,,u8ad6,u8ad6.svg,,
和,2129,口,8,3,,peace,ワ、（オ）,"wa, (o)",やわ-らぐ、やわ-らげる、なご-む、なご-やか,"yawa-ragu, yawa-rageru, nago-mu, nago-yaka",u548c,u548c.svg,,
話,2130,言,13,2,,talk,ワ,wa,はな-す、はなし,"hana-su, hanashi",u8a71,u8a71.svg,,
賄,2131,貝,13,S,,"bribe, board",ワイ,wai,まかな-う,makana-u,u8cc4,u8cc4.svg,,
脇,2132,肉,10,S,2010,aside,,,わき,waki,u8107,u8107.svg,,
惑,2133,心,12,S,,beguile,ワク,waku,まど-う,mado-u,u60d1,u60d1.svg,,
枠,2134,木,8,S,1981,frame,,,わく,waku,u67a0,u67a0.svg,,
湾,2135,水,12,S,,gulf,ワン,wan,,,u6e7e,u6e7e.svg,,
腕,2136,肉,12,S,,arm,ワン,wan,うで,ude,u8155,u8155.svg,,
