kanji,keyword,lesson_number,kml_primitives,cluster_components,collapse_to,layout_type,first_use,notes
悟,enlightenment,34,,,,h,,
怖,dreadful,34,,,,h,,
慌,disconcerted,34,,,,h,,
悔,repent,34,,,,h,,
憎,hate,34,,,,h,,
慣,accustomed,34,,,,h,,
愉,pleasure,34,,,,h,,
惰,lazy,34,,,,h,,
慎,humility,34,,,,h,,
憾,remorse,34,,,,h,,
憶,recollection,34,,,,h,,
惧,disquieting,35,,,,h,,
憧,desire,35,,,,h,,
憬,long_for,35,,,,h,,
慕,pining,35,,,,v,,
添,annexed,35,,,,h,,
必,invariably,35,,,,,,layout_type unknown in source
泌,ooze,35,,,,h,,
手,hand,35,,,,,,layout_type unknown in source
看,watch_over,35,,,,v,,
摩,chafe,35,,,,e,,
我,ego,35,,,,,,layout_type unknown in source
義,righteousness,35,,,,v,,
議,deliberation,35,,,,h,,
犠,sacrifice,35,,,,h,,
抹,rub,35,,,,h,,
拭,wipe,35,,,,h,,
拉,yank,35,,,,h,,
抱,embrace,35,,,,h,,
搭,board,35,,,,h,,
抄,extract,35,,,,h,,
抗,confront,36,,,,h,,
批,criticism,36,,,,h,,
招,beckon,36,,,,h,,
拓,clear_land,36,,,,h,,
拍,clap,36,,,,h,,
打,strike,36,,,,h,,
拘,arrest,36,,,,h,,
捨,discard,36,,,,h,,
拐,kidnap,36,,,,h,,
摘,pinch,36,,,,h,,
挑,challenge,36,,,,h,,
指,finger,36,,,,h,,
持,hold,36,,,,h,,
拶,imminent,36,,,,h,,
括,fasten,36,,,,h,,
揮,brandish,36,,,,h,,
推,infer,36,,,,h,,
揚,hoist,36,,,,h,,
提,propose,36,,,,h,,
損,damage,36,,,,h,,
拾,pick_up,37,,,,h,,
担,shouldering,37,,,,h,,
拠,foothold,37,,,,h,,
描,sketch,37,,,,h,,
操,maneuver,37,,,,h,,
接,touch,37,,,,h,,
掲,put_up_notice,37,,,,h,,
掛,hang,37,,,,h,,
捗,make_headway,37,,,,h,,
研,sharpen,37,,,,h,,
戒,commandment,37,,,,e,,
弄,tinker_with,37,,,,v,,
械,contraption,37,,,,h,,
鼻,nose,37,,,,v,,
刑,punish,37,,,,h,,
型,mould,37,,,,v,,
才,genius,37,,,,,,layout_type unknown in source
財,property,37,,,,h,,
材,lumber,37,,,,h,,
存,suppose,37,,,,e,,
在,exist,38,,,,e,,
乃,no,38,,,,e,,
携,portable,38,,,,h,,
及,reach_out,38,,,,,,layout_type unknown in source
吸,suck,38,,,,h,,
扱,handle,38,,,,h,,
丈,length,38,,,,,,layout_type unknown in source
史,history,38,,,,,,layout_type unknown in source
吏,officer,38,,,,,,layout_type unknown in source
更,further,38,,,,v,,
硬,stiff,38,,,,h,,
梗,spiny,38,,,,h,,
又,or_again,38,,,,,,layout_type unknown in source
双,pair,38,,,,h,,
桑,mulberry,38,,,,v,,
隻,vessels,38,,,,v,,
護,safeguard,38,,,,h,,
獲,seize,38,,,,h,,
奴,guy,38,,,,h,,
怒,angry,38,,,,v,,
友,friend,39,,,,e,,
抜,slip_out,39,,,,h,,
投,throw,39,,,,h,,
没,drown,39,,,,h,,
股,crotch,39,,,,h,,
設,establish,39,,,,h,,
撃,beat,39,,,,v,,
殻,husk,39,,,,h,,
支,branch,39,,,,v,,
技,skill,39,,,,h,,
枝,bough,39,,,,h,,
肢,limb,39,,,,h,,
茎,stalk,39,,,,v,,
怪,suspicious,39,,,,h,,
軽,light_weight,39,,,,h,,
叔,uncle,39,,,,h,,
督,coach,39,,,,v,,
寂,loneliness,39,,,,v,,
淑,graceful,39,,,,h,,
反,anti,39,,,,e,,
坂,slope,40,,,,h,,
板,plank,40,,,,h,,
返,return,40,,,,e,,
販,marketing,40,,,,h,,
爪,claw,40,,,,,,layout_type unknown in source
妥,gentle,40,,,,v,,
乳,milk,40,,,,h,,
浮,floating,40,,,,h,,
淫,lewdness,40,,,,h,,
将,leader,40,,,,h,,
奨,exhort,40,,,,v,,
采,grab,40,,,,v,,
採,pick,40,,,,h,,
菜,vegetable,40,,,,v,,
受,accept,40,,,,v,,
授,instruct,40,,,,h,,
愛,love,40,,,,v,,
曖,unclear,40,,,,h,,
払,pay,40,,,,h,,
広,wide,40,,,,e,,
勾,capture,41,,,,e,,
