kanji,heisig_number,heisig_keyword,heisig_components,kml_primitives,primitive_count,cluster_components,collapse_to
相,222,inter-,tree; wood; eye,木|目,2,inter-,
机,223,desk,tree; wood; wind,木,1,desk,
本,224,book,tree; wood; one,木|一,2,book,
札,225,tag,tree; wood; fishhook,木,1,tag,
暦,226,calendar,cliff; grove; tree; wood; sun;cliff; tree; sun,3,,calendar,
案,227,plan,relax; house; woman; tree; wood,女|木,2,plan,
燥,228,parch,fire; furniture; wooden goods; mouth; tree; wood,火|口|木,3,parch,
未,229,not yet,tree; wood; one,木|一,2,not yet,
末,230,extremity,tree; wood; one,木|一,2,extremity,
昧,231,obscure,sun; not yet; one; tree; wood,日|一|木,3,obscure,
沫,232,splash,water; water droplets; water pistol; extremity; one; tree; wood,水|一|木,3,splash,
味,233,flavor,mouth; not yet; one; tree; wood,口|一|木,3,flavor,
妹,234,younger sister,woman; not yet; one; tree; wood,女|一|木,3,younger sister,
朱,235,vermilion,vermillion; drop; not yet; one; tree; wood,丶|一|木,3,vermilion,
株,236,stocks,tree; wood; vermillion; drop; not yet; one; tree; wood,木|丶|一,3,stocks,
若,237,young,flowers; right; by one’s side; mouth,口,1,young,
草,238,grass,flowers; sunflower; early; sun; ten; needle,日|十,2,grass,
苦,239,suffering,flowers; old; tombstone; gravestone; church; ten; needle; mouth,十|口,2,suffering,
苛,240,bullying,flowers; can; mouth; street; street; nail; spike,口,1,bullying,
寛,241,tolerant,house; flowers; look; see; telescope; eye; human legs,目|legs,2,tolerant,
薄,242,dilute,flowers; water; water droplets; water pistol; acupuncturist; specialty; drop; ten; needle; rice field; brains; glue,水|丶|十|田,4,dilute,
葉,243,leaf,flowers; Tarzan; generation; tree; wood,木,1,leaf,
模,244,imitation,tree; wood; graveyard; flowers; sun; large; St. Bernard,木|日,2,imitation,
漠,245,vague,water; water droplets; water pistol; graveyard; flowers; sun; large; St. Bernard,水|日,2,vague,
墓,246,grave,graveyard; flowers; sun; large; St. Bernard; soil; dirt; ground,日|土,2,grave,
暮,247,livelihood,graveyard; flowers; sun; large; St. Bernard,日,1,livelihood,
膜,248,membrane,moon; graveyard; flowers; sun; large; St. Bernard,月|日,3,membrane,
苗,249,seedling,flowers; rice field; brains,田,1,seedling,
兆,250,portent,turtle,,0,portent,
桃,251,peach tree,tree; wood; portent; turtle,木,1,peach tree,
眺,252,stare,eye; portent; turtle,目,1,stare,
犬,253,dog,large; St. Bernard; drop,丶,1,dog,
状,254,status quo,turtle; chihuahua; dog; large; drop,丶,1,status quo,
黙,255,silence,black; computer; chihuahua; dog; large; drop; oven-fire; barbecue,丶,1,silence,
然,256,sort of thing,moon; crescent moon; chihuahua; dog; large; drop; oven-fire; barbecue,月|丶,3,sort of thing,
荻,257,reed,flowers; pack of wild dogs; fire,火,1,reed,
狩,258,hunt,pack of wild dogs; guard; house; glue,,0,hunt,
猫,259,cat,pack of wild dogs; seedlings; flowers; rice field; brains,田,1,cat,
牛,260,cow,,,0,cow,
特,261,special,cow; Buddhist temple; soil; dirt; ground; glue,土,1,special,
告,262,revelation,cow; mouth,口,1,revelation,
先,263,before,cow; human legs,legs,1,before,
洗,264,wash,water; water droplets; water pistol; before; cow; human legs,水|legs,2,wash,
介,265,jammed in,umbrella; stick; walking cane,,0,jammed in,
界,266,world,rice field; brains; jammed in; umbrella; stick; cane,田,1,world,
茶,267,tea,flowers; umbrella; wooden pole,,0,tea,
脊,268,spinal column,I Ching; Master Po; umbrella; moon,月,2,spinal column,
合,269,fit,meeting; umbrella; one; mouth,一|口,2,fit,
塔,270,pagoda,soil; dirt; ground; flowers; fit; meeting; umbrella; one; mouth,土|一|口,3,pagoda,
王,271,king,jewel; ball,ball,1,king,
玉,272,jewel,king; ball; earring; drop,ball|丶,2,jewel,
宝,273,treasure,house; king; jewel; ball; earring; drop,ball|丶,2,treasure,
珠,274,pearl,king; jewel; ball; vermillion; drop; not yet; one; tree; wood,ball|丶|一|木,4,pearl,
現,275,present,king; jewel; ball; see; telescope; eye; human legs,ball|目|legs,3,present,
玩,276,toy,king; jewel; ball; beginning; two; human legs,ball|一|legs,3,toy,
狂,277,lunatic,pack of wild dogs; king; jewel; ball,ball,1,lunatic,
旺,278,effulgent,sun; king; jewel; ball,日|ball,2,effulgent,
皇,279,emperor,white; dove; king; jewel; ball,ball,1,emperor,
呈,280,display,mouth; king; jewel; ball,口|ball,2,display,
全,281,whole,umbrella; king; jewel; ball,ball,1,whole,
栓,282,plug,tree; wood; whole; umbrella; king; jewel; ball,木|ball,2,plug,
理,283,logic,king; jewel; ball; computer,ball,1,logic,
主,284,lord,drop; king; jewel; ball,丶|ball,2,lord,
注,285,pour,water; water droplets; water pistol; candlestick; lord; drop; king; jewel; ball,水|丶|ball,3,pour,
柱,286,pillar,tree; wood; candlestick; lord; drop; king; jewel; ball,木|丶|ball,3,pillar,
金,287,gold,metal; umbrella; drop; king; jewel; ball,metal|丶|ball,3,gold,
銑,288,pig iron,pig-iron; metal; gold; before; cow; human legs,金|legs,2,pig iron,
鉢,289,bowl,metal; gold; origin; book; tree; wood; one,金|木|一,3,bowl,
銅,290,copper,metal; gold; same; monks; hood; one; mouth,金|一|口,3,copper,
釣,291,angling,metal; gold; ladle; bound up; drop,金|丶,2,angling,
針,292,needle,metal; gold; ten,金|十,2,needle,
銘,293,inscription,metal; gold; name; evening; mouth,金|evening|口,3,inscription,
鎮,294,tranquillize,tranquilize; metal; gold; true; truth; ten; needle; eye; tool; animal legs; eight,金|十|目|legs|split,5,tranquillize,
道,295,road-way,neck; horns; drop; eye; road,horns|丶|目,3,road-way,
導,296,guidance,neck; horns; drop; eye; road; glue,horns|丶|目,3,guidance,
辻,297,crossing,cross; ten; needle; road,十,1,crossing,
迅,298,swift,fishhook; cross; ten; needle; road,十,1,swift,
造,299,create,revelation; cow; mouth; road,口,1,create,
迫,300,urge,white; dove; road,,0,urge,
逃,301,escape,turtle; portent; road,,0,escape,
辺,302,environs,dagger; sword; road,,0,environs,
巡,303,patrol,deluge; stream; flood; road,,0,patrol,
車,304,car,sun; ten; needle,日|十,2,car,
連,305,take along,car; road,,0,take along,
軌,306,rut,car; nine; baseball,ball,1,rut,
輸,307,transport,car; meeting of butchers; umbrella; one; moon; sword; sabre; saber,一|月,3,transport,
喩,308,metaphor,,,0,metaphor,
前,309,in front,horns; butcher; moon; sword; sabre; saber,horns|月,3,in front,
煎,310,roast,in front; horns; butcher; moon; sword; sabre; saber; oven-fire; barbecue,horns|月,3,roast,
