kanji,joyo_index,radical,strokes,grade,english_meaning,on_kana,kun_kana
付,1739,人,5,4,attach,フ,つ-ける、つ-く
布,1740,巾,5,5,linen,フ,ぬの
扶,1741,手,7,S,aid,フ,
府,1742,广,8,4,urban prefecture,フ,
怖,1743,心,8,S,dreadful,フ,こわ-い
阜,1744,阜,8,4,mound,（フ）[6],
附,1745,阜,8,S,affixed,フ,
訃,1746,言,9,S,obituary,フ,
負,1747,貝,9,3,lose,フ,ま-ける、ま-かす、お-う
赴,1748,走,9,S,proceed,フ,おもむ-く
浮,1749,水,10,S,floating,フ,う-く、う-かれる、う-かぶ、う-かべる
婦,1750,女,11,5,lady,フ,
符,1751,竹,11,S,token,フ,
富,1752,宀,12,4,rich,フ、（フウ）,と-む、とみ
普,1753,日,12,S,universal,フ,
腐,1754,肉,14,S,rot,フ,くさ-る、くさ-れる、くさ-らす
敷,1755,攴,15,S,spread,フ,し-く
膚,1756,肉,15,S,skin,フ,
賦,1757,貝,15,S,levy,フ,
譜,1758,言,19,S,musical score,フ,
侮,1759,人,8,S,scorn,ブ,あなど-る
武,1760,止,8,5,military,ブ、ム,
部,1761,邑,11,3,part,ブ,
舞,1762,舛,15,S,dance,ブ,ま-う、まい
封,1763,寸,9,S,seal,フウ、ホウ,
風,1764,風,9,2,wind,フウ、（フ）,かぜ、（かざ）
伏,1765,人,6,S,prostrated,フク,ふ-せる、ふ-す
服,1766,月,8,3,clothes,フク,
副,1767,刀,11,4,vice,フク,
幅,1768,巾,12,S,breadth,フク,はば
復,1769,彳,12,5,again,フク,
福,1770,示,13,3,luck,フク,
腹,1771,肉,13,6,abdomen,フク,はら
複,1772,衣,14,5,duplicate,フク,
覆,1773,襾,18,S,capsize,フク,おお-う、くつがえ-す、くつがえ-る
払,1774,手,5,S,pay,フツ,はら-う
沸,1775,水,8,S,seethe,フツ,わ-く、わ-かす
仏,1776,人,4,5,Buddha,ブツ,ほとけ
物,1777,牛,8,3,thing,ブツ、モツ,もの
粉,1778,米,10,5,flour,フン,こ、こな
紛,1779,糸,10,S,distract,フン,まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしい
雰,1780,雨,12,S,atmosphere,フン,
噴,1781,口,15,S,erupt,フン,ふ-く
墳,1782,土,15,S,tomb,フン,
憤,1783,心,15,S,aroused,フン,いきどお-る
奮,1784,大,16,6,stirred up,フン,ふる-う
分,1785,刀,4,2,"part, minute of time",ブン、フン、ブ,わ-ける、わ-かれる、わ-かる、わ-かつ
文,1786,文,4,1,writing,ブン、モン,ふみ
聞,1787,耳,14,2,hear,ブン、モン,き-く、き-こえる
丙,1788,一,5,S,third class,ヘイ,
平,1789,干,5,3,flat,ヘイ、ビョウ,たい-ら、ひら
兵,1790,八,7,4,soldier,ヘイ、ヒョウ,
併,1791,人,8,S,join,ヘイ,あわ-せる
並,1792,立,8,6,line-up,ヘイ,なみ、なら-べる、なら-ぶ、なら-びに
柄,1793,木,9,S,design,ヘイ,がら、え
陛,1794,阜,10,6,highness,ヘイ,
閉,1795,門,11,6,closed,ヘイ,と-じる、と-ざす、し-める、し-まる
塀,1796,土,12,S,fence,ヘイ,
幣,1797,巾,15,S,cash,ヘイ,
弊,1798,廾,15,S,abuse,ヘイ,
蔽,1799,艸,15,S,cover,ヘイ,
餅,1800,食,15,S,mochi rice cake,ヘイ,もち
米,1801,米,6,2,rice,ベイ、マイ,こめ
壁,1802,土,16,S,wall,ヘキ,かべ
璧,1803,玉,18,S,sphere,ヘキ,
癖,1804,疒,18,S,mannerism,ヘキ,くせ
別,1805,刀,7,4,separate,ベツ,わか-れる
